#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
6,21,319.181344
9,20,319.474569
9,20,319.770537
9,20,320.065356
8,21,320.360001
9,20,320.65473
9,20,320.948883
7,20,321.24842
9,20,321.544284
8,21,321.841997
9,20,322.137013
9,20,322.432162
8,21,322.729667
9,20,323.023247
6,21,323.320499
9,20,323.613395
9,20,323.907102
-2,9,324.020557
8,21,324.317219
8,21,324.616947
9,20,324.91149
8,21,325.220721
9,20,325.531252
9,20,325.833732
8,21,326.130852
6,21,326.449998
9,20,326.76492
8,21,327.075778
9,20,327.384835
8,21,327.786357
9,20,328.126919
8,21,328.437265
4,15,328.649369
8,21,328.986329
-8,3,329.032103
8,19,329.330719
8,21,329.6423
7,22,329.93886
9,20,330.245055
9,20,330.554991
9,20,330.855135
9,20,331.149979
9,20,331.446543
9,20,331.741299
9,20,332.036698
7,22,332.333874
9,20,332.632228
9,20,332.925798
9,20,333.219804
9,20,333.513759
8,21,333.81377
8,21,334.11125
2,13,334.283554
6,21,334.585317
9,20,334.879711
7,20,335.151593
9,20,335.446561
8,21,335.746536
9,20,336.052375
9,20,336.35259
9,20,336.645449
8,21,336.942526
7,20,337.216383
9,20,337.511538
8,21,337.81086
9,20,338.104324
8,21,338.40083
8,21,338.701198
9,20,338.997953
7,22,339.294323
9,20,339.589669
9,20,339.884745
8,21,340.183218
9,20,340.480128
4,15,340.687065
9,20,340.982232
9,20,341.280357
9,20,341.576855
8,21,341.873137
9,20,342.168219
8,21,342.468079
9,20,342.765659
5,24,343.076118
8,21,343.377752
8,21,343.674437
1,14,343.852972
8,21,344.148757
8,21,344.443394
9,20,344.739487
9,20,345.032603
9,20,345.330119
9,20,345.627638
-4,7,345.712376
9,20,346.007413
-8,3,346.049929
9,20,346.344059
8,21,346.640489
8,21,346.939702
7,20,347.235363
9,20,347.528997
3,16,347.743691
4,21,348.039025
9,20,348.336597
1,22,348.632862
9,20,348.928429
9,20,349.224251
9,20,349.520178
4,15,349.724397
6,21,350.020186
8,21,350.326532
9,20,350.621171
9,20,350.915438
9,20,351.209576
8,19,351.486746
9,20,351.783003
8,21,352.081972
6,21,352.378842
9,20,352.672953
8,21,352.969436
9,20,353.264498
-2,9,353.381202
9,20,353.68252
9,20,353.975689
9,20,354.270478
9,20,354.564162
8,21,354.861681
9,20,355.158824
9,20,355.453385
8,21,355.749585
9,20,356.043744
6,17,356.286234
-2,9,356.39036
9,20,356.685188
9,20,356.983871
9,20,357.277953
-2,9,357.3854
9,20,357.684215
9,20,357.978255
9,20,358.273201
9,20,358.569229
0,11,358.713083
8,21,359.013687
8,21,359.310375
8,21,359.605406
9,20,359.900225
8,21,360.195169
8,21,360.490296
9,20,360.786145
9,20,361.080366
9,20,361.376737
5,18,361.63171
8,21,361.93055
8,19,362.207669
7,22,362.512232
7,18,362.766944
8,21,363.062158
9,20,363.359088
9,20,363.65337
9,20,363.948621
8,21,364.263901
9,20,364.55874
8,21,364.873662
8,21,365.170449
9,20,365.464301
9,20,365.759814
8,21,366.055656
9,20,366.350152
8,21,366.645288
8,19,366.919913
8,21,367.213964
9,20,367.508035
9,20,367.804145
9,20,368.099009
8,21,368.394207
9,20,368.688696
5,20,368.961062
9,20,369.255334
9,20,369.548305
8,21,369.850198
6,17,370.088191
8,21,370.384085
8,21,370.680963
9,20,370.978173
9,20,371.290413
9,20,371.60305
7,22,371.91268
8,21,372.218959
9,20,372.513973
9,20,372.80768
9,20,373.099805
8,21,373.394478
9,20,373.689805
9,20,373.986584
9,20,374.281837
7,20,374.553653
8,21,374.856984
9,20,375.151499
9,20,375.446849
9,20,375.739879
7,20,376.017367
-3,8,376.114455
8,19,376.39473
9,20,376.690034
9,20,376.986426
9,20,377.281186
9,20,377.576798
3,14,377.768415
