#{"t_start": 1589046328.0579042, "env_id": null}
r,l,t
-7,4,114.625081
-4,13,114.759732
-8,17,114.891342
-7,10,114.97021
-4,7,115.051853
-7,4,115.100502
-7,8,115.195538
-7,6,115.254444
-4,7,115.336471
-8,11,115.447932
-8,7,115.516132
-5,8,115.601438
-6,13,115.704894
-5,12,115.838912
-9,16,115.985521
-7,10,116.081319
-5,6,116.153975
-9,14,116.273665
-5,16,116.421769
-3,12,116.556762
-7,6,116.620715
-6,13,116.730203
-7,12,116.824108
-7,4,116.873572
-6,13,117.012575
-10,13,117.11583
-7,6,117.175538
-9,10,117.276389
-8,7,117.348894
-5,8,117.438319
-5,8,117.522155
-7,12,117.68351
-14,27,117.864444
-4,13,117.992398
-2,11,118.108325
-8,19,118.252539
-9,2,118.282025
-2,15,118.42869
-7,6,118.489111
-6,5,118.549926
-7,6,118.612783
-8,3,118.652923
-3,10,118.768052
-7,10,118.858496
-7,10,118.95658
-5,8,119.037875
-8,15,119.185818
-6,9,119.284997
-7,10,119.371902
-7,4,119.42018
-6,11,119.516762
-9,2,119.547155
-4,9,119.657355
-5,10,119.754482
-10,7,119.81441
-11,10,119.879409
-3,12,119.999027
-3,8,120.102201
-5,6,120.173393
-7,10,120.255438
-10,23,120.437676
-9,12,120.537114
-7,6,120.596854
-5,10,120.694301
-4,9,120.790922
-7,12,120.907676
-7,4,120.957044
-6,9,121.043273
-6,9,121.132431
-5,12,121.265435
-7,14,121.386969
-4,11,121.490002
-6,7,121.561751
-5,10,121.655166
-5,10,121.746913
-4,7,121.827955
-7,10,121.915264
-2,13,122.044928
-9,10,122.143246
-6,9,122.228466
-6,9,122.312648
-4,9,122.405585
-6,7,122.476953
-6,9,122.588612
-8,7,122.646851
-6,13,122.775985
-9,2,122.804609
-5,12,122.912855
-6,15,123.042826
-7,14,123.1644
-6,7,123.248791
-2,9,123.359614
-7,6,123.430748
-5,14,123.561265
-7,4,123.613687
-3,8,123.711491
-5,6,123.781755
-7,6,123.84122
-5,6,123.91268
-3,8,124.012871
-9,18,124.168255
-6,17,124.369015
-5,8,124.470491
-6,9,124.565472
-8,11,124.650135
-8,7,124.723692
-4,13,124.853176
-7,14,124.985979
-6,9,125.081849
-7,16,125.245484
-7,6,125.311181
-3,12,125.462831
-7,8,125.554582
-6,5,125.618563
-7,6,125.687575
-2,9,125.796659
-3,12,125.914992
-5,8,125.99679
-5,8,126.088537
-5,6,126.168914
-7,6,126.237054
-8,5,126.310907
-1,10,126.472635
-8,5,126.524256
-8,3,126.564484
-2,11,126.697684
-5,16,126.836421
-5,8,126.959938
-8,3,127.004202
-6,7,127.087974
-8,11,127.210504
-6,13,127.343577
-8,19,127.489967
-5,6,127.558566
-5,8,127.655131
-6,5,127.725874
-5,8,127.817789
-7,10,127.917314
-4,11,128.035813
-5,6,128.117337
-7,10,128.221177
-8,7,128.292782
-5,10,128.39464
-9,4,128.450039
-2,9,128.563726
-8,3,128.605987
-8,3,128.647313
-7,8,128.743494
-5,6,128.81963
-4,7,128.904502
-4,13,129.035471
-4,9,129.139228
-8,9,129.21737
-7,8,129.312637
-7,12,129.424725
-4,15,129.584979
-6,11,129.682548
-6,9,129.771101
-3,8,129.872932
-8,3,129.913282
-7,12,130.013398
-6,5,130.072613
-5,6,130.146444
-8,7,130.217693
-7,8,130.303083
-6,7,130.375788
-7,6,130.43733
-8,9,130.511072
-5,8,130.601244
-9,6,130.661725
-6,7,130.738565
-5,8,130.818834
-6,7,130.895467
-4,7,130.982831
-3,8,131.086014
-2,9,131.200035
-5,8,131.280671
-5,8,131.366488
-5,8,131.449483
-11,18,131.601961
