#{"t_start": 1589052117.7249138, "env_id": null}
r,l,t
32,51,791.89458
32,51,792.733654
29,51,793.563637
32,51,794.403008
29,51,795.22952
29,51,796.054711
32,51,796.893832
32,51,797.750172
29,51,798.574839
29,51,799.399427
29,51,800.226348
29,51,801.051201
32,51,801.894172
32,51,802.734038
29,51,803.56031
32,51,804.399782
32,51,805.24032
29,51,806.075098
29,51,806.900352
32,51,807.740214
32,51,808.580077
29,51,809.42593
29,51,810.240834
32,51,811.080076
32,51,811.920901
32,51,812.757649
29,51,813.589498
29,51,814.419651
29,51,815.242035
32,51,816.081442
32,51,816.920194
32,51,817.760451
31,51,818.619115
32,51,819.458866
32,51,820.297414
29,51,821.123328
29,51,821.952596
32,51,822.795309
29,51,823.619104
32,51,824.460302
32,51,825.298746
29,51,826.133356
32,51,826.984496
32,51,827.850487
30,51,828.714411
32,51,829.565177
32,51,830.409466
32,51,831.251073
29,51,832.077348
29,51,832.888721
29,51,833.713687
29,51,834.536498
32,51,835.379489
32,51,836.219877
32,51,837.071163
32,51,837.908326
29,51,838.751079
29,51,839.572945
31,51,840.406722
32,51,841.244711
32,51,842.086506
32,51,842.924076
32,51,843.766796
29,51,844.590625
29,51,845.4002
32,51,846.25429
32,51,847.095663
29,51,847.928774
32,51,848.798647
32,51,849.635449
32,51,850.476288
29,51,851.306475
32,51,852.161841
32,51,853.002831
32,51,853.84422
32,51,854.730704
32,51,855.571086
32,51,856.418667
32,51,857.266734
29,51,858.097578
32,51,858.935111
29,51,859.740809
29,51,860.575832
32,51,861.415832
29,51,862.243154
29,51,863.071259
32,51,863.909073
32,51,864.755122
29,51,865.58047
32,51,866.420409
32,51,867.260713
32,51,868.102582
29,51,868.931359
32,51,869.799242
32,51,870.643015
32,51,871.483627
32,51,872.320394
32,51,873.164961
32,51,874.004663
29,51,874.815141
29,51,875.639137
32,51,876.477732
32,51,877.327864
25,51,878.138058
29,51,878.954847
32,51,879.818543
32,51,880.683211
32,51,881.54244
32,51,882.385457
32,51,883.224362
29,51,884.051369
32,51,884.891978
32,51,885.737431
32,51,886.586515
29,51,887.4212
32,51,888.285497
29,51,889.094165
32,51,889.944532
32,51,890.786438
32,51,891.625004
29,51,892.431628
32,51,893.273975
29,51,894.103732
32,51,894.943895
29,51,895.756703
29,51,896.581581
32,51,897.424103
32,51,898.273192
32,51,899.113274
29,51,899.951399
32,51,900.789198
29,51,901.61463
32,51,902.459135
32,51,903.297834
29,51,904.132179
32,51,904.971531
29,51,905.797648
29,51,906.627217
32,51,907.466459
32,51,908.323418
32,51,909.161076
32,51,910.002676
29,51,910.815255
32,51,911.65257
29,51,912.482056
32,51,913.321324
32,51,914.160692
32,51,915.004898
32,51,915.847506
29,51,916.674334
32,51,917.521457
29,51,918.349553
32,51,919.196391
32,51,920.040919
29,51,920.88965
32,51,921.726658
32,51,922.565194
29,51,923.402167
32,51,924.243755
32,51,925.081173
32,51,925.91984
29,51,926.742599
32,51,927.593203
32,51,928.440481
29,51,929.282175
29,51,930.113789
32,51,930.956275
29,51,931.785889
32,51,932.62393
29,51,933.451457
32,51,934.291793
32,51,935.128446
29,51,935.959484
32,51,936.804394
29,51,937.634604
32,51,938.485191
32,51,939.32168
29,51,940.154391
26,51,940.9384
29,51,941.758259
29,51,942.58487
29,51,943.405338
32,51,944.249355
32,51,945.091978
29,51,945.914325
32,51,946.758379
32,51,947.599714
32,51,948.444073
32,51,949.280911
29,51,950.090051
32,51,950.926877
32,51,951.766634
32,51,952.611262
29,51,953.449904
32,51,954.28829
32,51,955.124742
32,51,955.962899
32,51,956.808148
29,51,957.63348
32,51,958.47807
32,51,959.322672
32,51,960.159627
32,51,961.002816
32,51,961.846016
32,51,962.687459
32,51,963.522152
29,51,964.33073
32,51,965.174714
32,51,966.014212
32,51,966.853041
32,51,967.695907
29,51,968.520984
32,51,969.371018
29,51,970.205498
29,51,971.029511
29,51,971.855282
29,51,972.682024
29,51,973.510775
29,51,974.334751
29,51,975.162075
32,51,976.000515
32,51,976.842683
29,51,977.680747
32,51,978.524643
32,51,979.365855
32,51,980.206075
32,51,981.047596
32,51,981.891669
29,51,982.739341
32,51,983.59256
32,51,984.432176
29,51,985.262765
32,51,986.168743
32,51,987.037825
29,51,987.87327
32,51,988.722986
32,51,989.563414
32,51,990.41359
32,51,991.258622
29,51,992.069761
32,51,992.906593
32,51,993.746922
29,51,994.582307
32,51,995.448277
32,51,996.344792
32,51,997.185465
29,51,998.01238
32,51,998.85338
32,51,999.695298
32,51,1000.535564
32,51,1001.438644
32,51,1002.277556
32,51,1003.124455
32,51,1003.962449
29,51,1004.788241
32,51,1005.628133
32,51,1006.470292
32,51,1007.318987
29,51,1008.130835
29,51,1008.97226
32,51,1009.821044
26,51,1010.607441
32,51,1011.464274
29,51,1012.29251
29,51,1013.118666
26,51,1013.914573
32,51,1014.756062
32,51,1015.6037
