#{"t_start": 1589060272.3949819, "env_id": null}
r,l,t
-18,13,478.977967
-18,7,479.051936
-18,13,480.85044
-18,9,480.95237
-19,4,481.001216
-20,5,481.047766
-19,2,482.791024
-15,16,482.923214
-19,18,484.803399
-16,7,486.62721
-20,11,486.739833
-17,6,486.805465
-24,15,488.650991
-18,7,490.43817
-19,14,490.574715
-18,7,492.359567
-19,12,492.463311
-17,6,492.530453
-18,7,494.300449
-15,10,494.400668
-22,5,496.135893
-17,6,496.207609
-16,5,496.261775
-19,18,498.101266
-16,7,498.17819
-21,16,499.965021
-15,14,501.796207
-20,5,501.842378
-17,8,503.657313
-20,13,503.794982
-20,15,505.611021
-18,11,505.737882
-20,7,507.483449
-20,13,507.617014
-18,9,509.3857
-16,9,509.462482
-17,6,511.228616
-15,10,511.332838
-19,2,511.36089
-22,15,513.18682
-18,7,513.263763
-18,7,515.022343
-16,13,515.140744
-18,11,516.898595
-17,16,518.724214
-24,15,518.850466
-20,9,520.633731
-19,10,520.720736
-16,9,522.515203
-19,6,522.586281
-19,10,524.404401
-20,11,524.505807
-19,10,526.285302
-19,4,526.331063
-19,4,526.379632
-19,10,528.166108
-17,4,528.211329
-15,10,528.312236
-17,10,530.103333
-22,11,530.190709
-20,11,532.022762
-17,10,532.127989
-19,8,533.968529
-20,9,534.044912
-16,5,535.853947
-14,9,535.945138
-17,12,537.693185
-21,8,537.778858
-19,6,537.836385
-19,2,537.864566
-16,5,539.653284
-17,4,539.698903
-16,7,539.761942
-15,12,541.535736
-18,7,541.599792
-21,14,543.367966
-15,14,545.184601
-18,11,545.302931
-17,8,545.391556
-19,6,547.14105
-17,6,547.206578
-20,9,548.97562
-15,8,549.052417
-25,22,550.883995
-18,3,550.925091
-19,6,550.990773
-21,14,552.757114
-16,13,554.634632
-19,2,554.662878
-19,12,556.470156
-18,9,556.558906
-15,18,558.46897
-18,11,558.581496
-20,11,560.412253
-20,7,560.478571
-15,12,562.322693
-25,12,564.070089
-18,5,564.128456
-18,9,564.22758
-20,9,565.990558
-18,5,566.047656
-16,15,567.859315
-14,9,567.954014
-12,11,569.806491
-14,7,569.886055
-18,5,569.940261
-16,9,571.716401
-17,4,571.762612
-23,10,571.853698
-18,11,573.721034
-20,9,573.812639
-16,7,575.58073
-17,14,575.708567
-17,8,577.539981
-20,7,577.604451
-21,10,579.402419
-14,9,579.494349
-14,7,581.293541
-16,9,581.394994
-22,7,581.461641
-22,11,583.233325
-16,13,585.017242
-23,8,585.090927
-18,7,585.164863
-19,6,586.868634
-21,16,586.989939
-17,4,588.757444
-16,5,588.812322
-15,6,588.87547
-18,3,588.911853
-16,5,590.625991
-19,4,590.674514
-13,12,590.795552
-16,7,592.636263
-16,13,592.761645
-20,5,594.46413
-24,13,594.562713
-21,18,596.432256
-17,6,596.495639
-19,6,598.247274
-18,7,598.3256
-19,16,600.229886
-16,5,600.283595
-18,7,600.358166
-22,19,602.156008
-15,10,603.870276
-19,12,605.682051
-17,6,605.750604
-22,13,605.864104
-15,14,607.688433
-17,14,609.488353
-17,8,609.565931
-21,18,611.389601
-18,11,613.176712
-16,7,613.24901
-16,7,613.32872
-21,12,615.063683
-17,6,615.12893
-19,10,616.921371
-17,8,617.006625
-19,12,618.796679
-19,8,618.864585
-16,9,620.695402
-12,9,620.790311
-17,6,620.858025
-21,6,622.562012
-26,23,624.453479
-18,15,626.285468
-17,12,626.396453
-16,11,628.225759
-15,10,628.313906
-20,9,630.088522
-17,12,630.205968
-19,10,631.995677
-19,10,632.10459
-19,14,633.898638
-15,10,635.692994
-18,5,635.754543
-15,14,635.904845
-17,18,637.763627
-24,17,639.587223
-26,23,641.361624
-21,12,643.167618
-18,7,643.245153
-16,7,644.989026
-19,10,645.083918
-18,3,645.120161
-21,4,646.893282
-20,17,647.027262
-19,16,649.003685
-23,10,650.854202
-15,12,650.967268
-19,10,652.771359
-19,12,652.868168
-19,10,654.653195
-16,7,654.72814
-19,2,654.75601
-16,5,656.498646
-19,6,656.564635
-13,12,656.71201
-17,6,658.447316
-16,7,658.525268
-15,6,658.596653
-18,5,660.314359
-18,9,660.408726
-16,9,662.183058
-15,8,662.261905
-18,3,662.3013
-21,8,664.0876
-17,4,664.134695
-18,11,664.227655
-16,7,666.013523
-18,7,666.085556
-18,11,667.917492
-20,11,668.026698
-18,15,669.860331
-17,6,669.915514
-17,8,671.68518
-18,7,671.764021
-21,22,673.584106
-21,10,673.678354
-21,12,675.49503
-19,16,677.401067
-17,6,677.466742
-23,14,679.291943
-21,8,679.379259
-18,5,681.095774
-19,6,681.163205
-21,18,682.945376
-21,16,684.793994
-18,7,684.870218
-18,13,686.660623
-19,2,686.690169
-17,6,686.752457
-18,9,686.840204
-17,6,688.591274
-16,7,688.668197
-17,10,690.483873
-19,8,690.563979
-17,4,690.609883
-14,15,692.424313
-18,15,694.289893
-19,14,694.450731
-19,4,696.204729
-20,9,696.274408
-20,15,698.149261
-21,6,698.216939
-17,6,698.271864
-18,5,700.02716
-20,15,700.189469
-17,10,701.99902
-20,7,702.068233
-14,7,703.849672
-15,10,703.952261
-15,12,705.759734
-20,9,705.836693
-17,10,707.664318
-15,8,707.745059
-16,11,709.590289
-20,9,709.672424
-22,13,711.483628
-21,18,713.221222
-16,9,713.308696
-17,14,715.107273
-18,3,715.144193
-16,13,715.278258
-19,8,717.083039
-17,10,717.186497
-17,4,718.897782
-16,7,718.969079
-13,12,720.722325
-23,10,720.813443
-16,5,720.868535
-17,6,722.696904
-15,8,722.785843
-17,6,722.850655
-18,13,724.663121
-16,9,724.765531
-18,13,726.615007
-17,10,728.405381
-16,13,728.522809
-19,14,730.28407
-16,15,732.125105
-21,16,732.258685
-18,9,734.032633
-18,7,734.106191
-16,5,734.161215
-17,8,735.91002
-15,8,735.991136
-22,23,737.828924
-18,9,739.62008
-15,8,739.697847
-18,5,741.471465
-18,19,741.64373
-18,3,743.390988
-18,13,743.490572
-19,8,745.30314
-19,4,745.340688
-18,3,745.377327
-16,5,745.431229
-19,4,745.477799
-16,7,747.319291
-18,5,747.376738
-16,13,749.246684
-19,16,751.120755
-15,6,751.190946
-14,9,751.286054
-15,10,753.155742
-19,8,753.230522
-15,12,755.167436
-19,8,755.279981
-17,12,757.193396
-18,5,757.248794
-18,3,757.288538
-18,9,759.200561
-21,18,761.119364
-15,8,761.213173
-17,8,761.293325
-21,8,763.105096
-21,4,763.152697
-18,7,763.233651
-19,12,765.028363
-23,16,766.991379
-19,8,767.070239
-17,10,769.061906
-15,10,769.193341
-21,14,771.110188
-16,15,773.036317
-19,10,773.151638
-19,12,775.006855
-16,13,775.155659
-16,5,776.955364
-13,14,777.099725
-16,7,778.864217
-18,5,778.922549
-16,11,779.025361
-14,13,780.903758
-15,8,780.988462
-21,6,782.777117
-18,5,782.83849
